event_id,user_id,session_id,time,session_time,platform,device_type,country,region,city,ip,referrer,landing_page,browser,utm_source,utm_campaign,utm_medium,utm_term,utm_content,domain,query,path,hash,title
8521445695934438,1337677699676804,6963581590386115,2019-06-08 00:00:20.561,2019-06-08 00:00:03.538,Android 8.1,Mobile,China,Shaanxi,Xi'an,111.19.45.189,http://bzclk.baidu.com/adrc.php?t=06KC06c00f71ywC0hRI60noJr07pSEGT0000006TA7C00000UknVEm.THdLugIETh84vTL30A3qULK1nH0krH0znvb0T1d9mvfYn1bLnjmLnjDsPW6d0ZRqPj64wbFKrD7Awbn4fWRzrRfvPDcvrDnLrjDYPH01PWT0mHdL5iuVmv-b5HnznHTkPjRLnHchTZFEuA-b5HDv0ARqpZwYTZnlQzqLILT,www.wework.cn/activity/sh_bj_general,Chrome 57.0.2987,ads-baidubrandzone,l-sha-WAP-G品专,cpc,按钮,按钮,www.wework.cn,?utm_source=ads-baidubrandzone&utm_medium=cpc&utm_term=%E6%8C%89%E9%92%AE&utm_content=%E6%8C%89%E9%92%AE&utm_campaign=l-sha-WAP-G%E5%93%81%E4%B8%93&ag_kwid=15916-20-98a7f991527253fe.34b400557632d67c_m,/activity/sh_bj_general,,WeWork 全球创造者社区，不仅是联合办公
1644050261816913,1337677699676804,6963581590386115,2019-06-08 00:00:22.778,2019-06-07 23:59:38.964,Android 8.1,Mobile,China,Shaanxi,Xi'an,111.19.45.189,http://bzclk.baidu.com/adrc.php?t=06KC06c00f71ywC0hRI60noJr07pSEGT0000006TA7C00000UknVEm.THdLugIETh84vTL30A3qULK1nH0krH0znvb0T1d9mvfYn1bLnjmLnjDsPW6d0ZRqPj64wbFKrD7Awbn4fWRzrRfvPDcvrDnLrjDYPH01PWT0mHdL5iuVmv-b5HnznHTkPjRLnHchTZFEuA-b5HDv0ARqpZwYTZnlQzqLILT,www.wework.cn/activity/sh_bj_general,Chrome 57.0.2987,ads-baidubrandzone,l-sha-WAP-G品专,cpc,按钮,按钮,www.wework.cn,?utm_source=ads-baidubrandzone&utm_medium=cpc&utm_term=%E6%8C%89%E9%92%AE&utm_content=%E6%8C%89%E9%92%AE&utm_campaign=l-sha-WAP-G%E5%93%81%E4%B8%93&ag_kwid=15916-20-98a7f991527253fe.34b400557632d67c_m&nav_modal=joinUs?utm_source=ads-baidubrandzone&utm_medium=cpc&utm_campaign=l-sha-WAP-G%E5%93%81%E4%B8%93&utm_content=%E6%8C%89%E9%92%AE&utm_term=%E6%8C%89%E9%92%AE,/activity/sh_bj_general,,WeWork 全球创造者社区，不仅是联合办公
5955266607097867,2611652678837266,438505271627074,2019-06-08 00:00:50.329,2019-06-08 00:00:50.329,Android 8.1,Mobile,China,Hubei,Wuhan,119.103.232.195,https://m.baidu.com/baidu.php?sc.a00000apJPO0FYNyJOqaHVfQrpLciU6Z0D_Ht9hKMb5p-cVReeMfwiMT3niOHc_TLo6EQG6DTR4kzhWuuZ0biiMYkYafFxxzIkoBIPXOfT1_ZpLltpQEOkfFftC5C2sj0bV3_Bh-7htflq5PgJBKE6nLDrZmwkkwnAlkuv0j1eMMNI9ICFRqj9J2tG6P-K3HPyTVeqi37JCW7HKhf6.Db_NR2Ar5Od6,www.wework.cn/activity/sh_bj_general,Chrome Mobile 66.0.3359,ads-baidu,l-wuh-闪投-WAP,cpc,link1,橱窗wuh,www.wework.cn,?utm_source=ads-baidu&utm_medium=cpc&utm_term=link1&utm_content=%E6%A9%B1%E7%AA%97wuh&utm_campaign=l-wuh-%E9%97%AA%E6%8A%95-WAP&ag_kwid=15916-41-f0ff7295c40eed65.1ab1dec571ea21a6_m,/activity/sh_bj_general,,WeWork 全球创造者社区，不仅是联合办公
211047007421225,4142848365569708,6502713692101692,2019-06-08 00:00:58.071,2019-06-08 00:00:58.071,Windows 7,Desktop,China,Shanghai,Shanghai,120.253.215.200,,www.wework.cn/,Chrome 66.0.3359,catchpoint,,,,,www.wework.cn,?utm_source=catchpoint,/,,WeWork 全球创造者社区，不仅是联合办公
7476760471729299,8931899714968066,3580744433675305,2019-06-08 00:01:25.710,2019-06-08 00:01:25.710,Android,Mobile,China,Sichuan,Chengdu,117.136.63.130,http://m.baidu.com/baidu.php?sc.a00000apJPO0FYNyJlBu3LYsk7g2kOFDUw6sP9JwmKyQB7bub1Yl-IKDvTLH-BQzwqMINMKzO5uXWE_tfSWYRMPQS-hFsFO615BsJuZuUvKY52a5UgFnkH3wJ1ZG_1FDWzWzMJtevH6OQDyRXfBocCbFDiFIa9JdcqIVaHmD0WaaFF5kFAF5GSDCEwBQXXN10eneLRR6nxjicOiAUs.7D_NR2Ar5Od66,www.wework.cn/activity/sh_bj_general,Chrome 63.0.3239,ads-baidu,l-ctu-高转化词CD-WAP,cpc,虚拟办公室出租,通用词,www.wework.cn,?utm_source=ads-baidu&utm_medium=cpc&utm_term=%E8%99%9A%E6%8B%9F%E5%8A%9E%E5%85%AC%E5%AE%A4%E5%87%BA%E7%A7%9F&utm_content=%E9%80%9A%E7%94%A8%E8%AF%8D&utm_campaign=l-ctu-%E9%AB%98%E8%BD%AC%E5%8C%96%E8%AF%8DCD-WAP&src=Baidu&medium=PPC&ag_kwid=15916-40-90cf77bfbf6ed4cb.6e53140cb390ca01_m,/activity/sh_bj_general,,WeWork 全球创造者社区，不仅是联合办公
3336905845839672,2242866556337705,3279441733887756,2019-06-08 00:02:02.210,2019-06-08 00:02:02.210,Windows 7,Desktop,China,Shanghai,,121.46.250.8,,beta.wework.cn/,Chrome 66.0.3359,catchpoint,,,,,beta.wework.cn,?REACT_APP_API_URL=https://api-beta.wework.cn&utm_source=catchpoint,/,,WeWork 全球创造者社区，不仅是联合办公
6793467429747288,4894439040155522,1979178675765559,2019-06-08 00:02:31.998,2019-06-08 00:02:31.998,Windows 7,Desktop,China,Beijing,Beijing,116.62.152.245,https://www.so.com/s?ie=utf-8&src=dlm&shb=1&hsid=5bde668053344c65&ls=n3e23fe3397&q=%E9%9D%92%E5%B9%B4%E5%88%9B%E4%B8%9A,www.wework.cn/page/ulecheng,Chrome 41.0.2272,ads-360,,cpc,l-hgh-高转化词HZ-PC,,www.wework.cn,?utm_medium=cpc&utm_source=ads-360&utm_term=l%2Dhgh%2D%E9%AB%98%E8%BD%AC%E5%8C%96%E8%AF%8DHZ%2DPC&utm_term=%E9%9D%92%E5%B9%B4%E5%88%9B%E4%B8%9A%E5%9F%BA%E9%87%91,/page/ulecheng,,U乐城
4421870876595129,2110295440259823,1911601791030728,2019-06-08 00:02:42.122,2019-06-08 00:02:42.122,Android 7.0,Mobile,China,Sichuan,Chengdu,139.207.78.85,,www.wework.cn/activity/sh_bj_general,Chrome Mobile 55.0.2883,ads-baidu,l-ctu-通用词CD-WAP,cpc,办公室+出租,成都-办公室-出租,www.wework.cn,?utm_source=ads-baidu&utm_medium=cpc&utm_term=%E5%8A%9E%E5%85%AC%E5%AE%A4%2B%E5%87%BA%E7%A7%9F&utm_content=%E6%88%90%E9%83%BD-%E5%8A%9E%E5%85%AC%E5%AE%A4-%E5%87%BA%E7%A7%9F&utm_campaign=l-ctu-%E9%80%9A%E7%94%A8%E8%AF%8DCD-WAP&src=Baidu&medium=PPC&ag_kwid=15916-40-225608d630454c18.c4292c6998efda9e_m,/activity/sh_bj_general,,WeWork 全球创造者社区，不仅是联合办公
1525313597949453,3287935180876838,3232937419861707,2019-06-08 00:02:44.287,2019-06-08 00:02:44.287,Android 8.1,Mobile,China,Shaanxi,Xi'an,113.200.106.2,http://m.baidu.com/baidu.php?sc.a00000apJPO0FYNyJO14wM-aNqJYS9Ovr7BcZO9ZxbQeUH1_3fIbPZJbpfc7rHWTvfz8JerAqxyt9yaSgrZvltt8mMhkYz7HRhLeH6tiO_cs8xzgj09mQGCI3bh3oWh1_6AJQMltC1lkpVwo-Y3_hWph587iNU2ZzZiAC_r_qVCj46C_jl-Orn8m2KD8Lmc6MLRGISDyThfjUXIiNs.7Y_NR2Ar5Od66,www.wework.cn/page/xian,QQ Browser Mobile 6.2,ads-baidu,l-xiy-d-m,cpc,写字楼出租,,www.wework.cn,?utm_medium=cpc&utm_source=ads-baidu&utm_campaign=l-xiy-d-m&utm_term=%E5%86%99%E5%AD%97%E6%A5%BC%E5%87%BA%E7%A7%9F,/page/xian,,西安
8696112206250905,1161944024532262,5454573975168860,2019-06-08 00:02:49.722,2019-06-08 00:02:49.722,Android 6.0,Mobile,China,Beijing,Beijing,1.203.166.133,https://m.baidu.com/baidu.php?url=a00000apJPO0FYNyJvVfz9v6iOI5QZIyLs54xCjYPcZfwhaXjbiHaWAE8yBEIVlpbRMzdholJ2ZLJe1LLmgaCS7jxQMbBKBbZUiziG2dQEcejY-MQfrZ1eWZekPM9jsupFAmB7LhhDUzs2McLlEFi_bxF6nMroxRJLgf2y9sT7XAOZr9x_X88z5nUZ87h8KLyRoxuEKzIv0KvKweZ6.Db_NR2Ar5Od,www.wework.cn/activity/sh_bj_general,Chrome Mobile 44.0.2403,ads-baidu,l-pek-闪投-WAP,cpc,link3,橱窗pek,www.wework.cn,?utm_source=ads-baidu&utm_medium=cpc&utm_term=link3&utm_content=%E6%A9%B1%E7%AA%97pek&utm_campaign=l-pek-%E9%97%AA%E6%8A%95-WAP&ag_kwid=15916-8-a456811d52ed2fdf.21998f1b318581ed_m&bd_vid=10564969583740832918,/activity/sh_bj_general,,WeWork 全球创造者社区，不仅是联合办公
